ID,Type,Sub type,Price,NetHabitableSurface(msq),BedroomCount,Province,Region,PostCode,street,Floor,RegionCode,IsIsolated,HasSeaView,SchoolDistance,ShopDistance,TransportDistance,NetHabitableSurface,TotalRoomCount,HasAttic,HasBasement,HasDiningRoom,BuildingCondition,ConstructionYear,FacadeCount,HasLift,FloodZoneType,HeatingType,IsDoubleGlaze,HasBalcony,HasGarden,GardenArea,KitchekType,LivingRoomArea
9309634,APARTMENT,APARTMENT,341000,127.0,2,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,127,,,,,,,,,,,,,,,,
9309635,APARTMENT,APARTMENT,,103.0,2,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,103,,,,,,,,,POSSIBLE_FLOOD_ZONE,,,,,,,
9309636,APARTMENT,APARTMENT,362000,116.0,3,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,116,,,,,,,,,,,,,,,,
9309637,APARTMENT,APARTMENT,,68.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,68,,,,,,,,,,GAS,,,,,,
9309638,APARTMENT,APARTMENT,,90.0,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,90,,,,,,,,,,,,,,,,
9309639,APARTMENT,APARTMENT,,70.0,1,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,70,,,,,,,,,,,,,,,,
9309640,APARTMENT,APARTMENT,313000,112.0,2,Flemish Brabant,Flanders,1500,,1,FLANDERS,,,,,,112,,,,,,,,,,,,,,,,
9309641,APARTMENT,APARTMENT,,84.0,2,Flemish Brabant,Flanders,1500,,2,FLANDERS,,,,,,84,,,,,,,,,POSSIBLE_FLOOD_ZONE,,,,,,,
9309648,HOUSE,HOUSE,,121.0,3,Hainaut,Wallonie,7160,,,WALLONIE,,,,,,121,,True,True,True,TO_BE_DONE_UP,,3,,,FUELOIL,True,,True,238,INSTALLED,15
9309649,HOUSE,HOUSE,79000,80.0,2,Hainaut,Wallonie,7140,,,WALLONIE,,,,,,80,,,True,True,TO_RENOVATE,,2,,,,True,,True,37,NOT_INSTALLED,20
9309747,HOUSE,HOUSE,,191.0,5,East Flanders,Flanders,9700,Heurnestraat,,FLANDERS,,,0.0,0.0,0.0,191,,,,True,GOOD,,3,,NON_FLOOD_ZONE,GAS,True,,True,60,,24
9309760,APARTMENT,FLAT_STUDIO,160000,55.0,,West Flanders,Flanders,8434,Oorlogsinvalidenlaan,,FLANDERS,,,0.0,0.0,0.0,55,,,,,,1978,2,True,NON_FLOOD_ZONE,ELECTRIC,True,,,,,
9309935,HOUSE,COUNTRY_COTTAGE,,220.0,4,East Flanders,Flanders,9800,Groendreef,,FLANDERS,,,0.0,0.0,0.0,220,,,,,,1967,4,,NON_FLOOD_ZONE,FUELOIL,True,,,,INSTALLED,
9310072,APARTMENT,APARTMENT,255000,82.0,2,West Flanders,Flanders,8790,Keukeldam,1,FLANDERS,,,0.0,0.0,0.0,82,,,,,GOOD,,2,,NON_FLOOD_ZONE,,True,,,,INSTALLED,
9310277,APARTMENT,SERVICE_FLAT,215000,,1,West Flanders,Flanders,8670,Verdedigingslaan,2,FLANDERS,,,0.0,0.0,0.0,,,,,,AS_NEW,2015,2,,,GAS,,,,,,
9310292,HOUSE,HOUSE,,,4,West Flanders,Flanders,8000,Hooistraat,,FLANDERS,URBAN,,0.0,0.0,0.0,,,,,,,,,,NON_FLOOD_ZONE,,,,,,,
9310325,HOUSE,HOUSE,335387,156.0,3,West Flanders,Flanders,8780,Kalbergstraat,,FLANDERS,,,0.0,0.0,0.0,156,,,,,,,,,NON_FLOOD_ZONE,,,,True,,,
9310330,APARTMENT,APARTMENT,,159.0,3,Brussels,Brussels,1081,Kasteellaan,3,BRUSSELS,,,0.0,0.0,0.0,159,,,,,,,,True,,GAS,,,True,,,
9310331,APARTMENT,APARTMENT,,,2,Brussels,Brussels,1080,Frans Gasthuislaan,,BRUSSELS,,,0.0,0.0,0.0,,,,,,,,,,,GAS,,,,,,
9310332,APARTMENT,APARTMENT,,,3,Brussels,Brussels,1080,Kasteellaan,,BRUSSELS,,,0.0,0.0,0.0,,,,,,,,,,,GAS,,,,,,
9310333,APARTMENT,APARTMENT,,,2,Brussels,Brussels,1080,Frans Gasthuislaan,,BRUSSELS,,,0.0,0.0,0.0,,,,,,,,,,,GAS,,,,,,
9310334,APARTMENT,APARTMENT,,,2,Brussels,Brussels,1080,Frans Gasthuislaan,,BRUSSELS,,,0.0,0.0,0.0,,,,,,,,,,,GAS,,,,,,
9310335,APARTMENT,APARTMENT,,124.0,3,Brussels,Brussels,1080,Kasteellaan,2,BRUSSELS,,,0.0,0.0,0.0,124,,,,,,,,True,,GAS,,,True,,,
9310336,APARTMENT,APARTMENT,,,2,Brussels,Brussels,1080,Frans Gasthuislaan,,BRUSSELS,,,0.0,0.0,0.0,,,,,,,,,,,GAS,,,,,,
9310337,APARTMENT,APARTMENT,,,2,Brussels,Brussels,1080,Frans Gasthuislaan,,BRUSSELS,,,0.0,0.0,0.0,,,,,,,,,,,GAS,,,,,,
