ID,Type,Sub type,Price,NetHabitableSurface(msq),BedroomCount,Province,Region,PostCode,street,Floor,RegionCode,IsIsolated,HasSeaView,SchoolDistance,ShopDistance,TransportDistance,NetHabitableSurface,TotalRoomCount,HasAttic,HasBasement,HasDiningRoom,BuildingCondition,ConstructionYear,FacadeCount,HasLift,FloodZoneType,HeatingType,IsDoubleGlaze,KitchekType,LivingRoomArea,HasBalcony,HasGarden,GardenArea
4725082,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,4,,,,True,INSTALLED,6,,True,87
4725083,HOUSE,MANOR_HOUSE,,80.0,2,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,,,,,True,INSTALLED,5,,True,95
4725084,HOUSE,MANOR_HOUSE,,80.0,3,West Flanders,Flanders,8670,Westhinderstraat,,FLANDERS,,,0.0,0.0,0.0,80,,,,,AS_NEW,2013,3,,,,True,INSTALLED,5,,True,
4752209,HOUSE,HOUSE,,,2,West Flanders,Flanders,8300,,,FLANDERS,,,,,,,3,,True,True,,1978,,,,,,,,,True,
4849669,HOUSE,HOUSE,,70.0,2,West Flanders,Flanders,8450,,,FLANDERS,,,,,,70,,,,,AS_NEW,,,,NON_FLOOD_ZONE,,,,,,,
4907245,HOUSE,HOUSE,,,3,East Flanders,Flanders,9620,Pandelaarstraat,,FLANDERS,,,0.0,0.0,0.0,,4,,,,,,,,,,,,,,,
4936836,HOUSE,HOUSE,,192.0,3,West Flanders,Flanders,8377,,,FLANDERS,,,,,,192,4,,,,,2014,,,POSSIBLE_FLOOD_ZONE,,,,,,True,
4987867,HOUSE,HOUSE,,,3,West Flanders,Flanders,8770,Doelstraat,,FLANDERS,,,0.0,0.0,0.0,,,,True,,TO_BE_DONE_UP,1950,,,NON_FLOOD_ZONE,,,,,,True,
5007954,APARTMENT,DUPLEX,,201.0,3,Antwerp,Flanders,2970,,,FLANDERS,,,,,,201,4,,,,GOOD,2012,2,,,,,,,,True,
5009346,HOUSE,VILLA,,429.0,6,Antwerp,Flanders,2970,,,FLANDERS,,,,,,429,7,,,,GOOD,1998,4,,,GAS,True,INSTALLED,225,,True,
5075537,APARTMENT,SERVICE_FLAT,175000,50.0,1,Limburg,Flanders,3530,'t Dorp,2,FLANDERS,,,0.0,0.0,0.0,50,,,,,GOOD,2014,,True,,GAS,True,INSTALLED,,,,
5084066,HOUSE,HOUSE,,,3,West Flanders,Flanders,8340,Braambeierhoekstraat,,FLANDERS,,,0.0,0.0,0.0,,4,,,,,1979,,,,,,,17,,,
5084074,HOUSE,HOUSE,,,4,West Flanders,Flanders,8380,Zwankendammestraat,,FLANDERS,,,0.0,0.0,0.0,,5,,,,GOOD,1930,,,,,,INSTALLED,20,,True,75
5092478,HOUSE,HOUSE,,,4,West Flanders,Flanders,8310,Wagnerstraat,,FLANDERS,,,0.0,0.0,0.0,,5,,,,,,,,,,True,,,,,
5101640,APARTMENT,APARTMENT,,123.0,2,West Flanders,Flanders,8370,,,FLANDERS,,,,,,123,3,,,,,2014,,,NON_FLOOD_ZONE,,,,,,,
5104542,HOUSE,VILLA,,180.0,3,West Flanders,Flanders,8380,Ronselarestraat,,FLANDERS,,,0.0,0.0,0.0,180,4,,True,,,1973,,,,FUELOIL,True,,14,,True,2300
5170127,APARTMENT,DUPLEX,,140.0,3,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,140,4,,,,GOOD,2014,,,,,,,,,,
5170128,APARTMENT,DUPLEX,,,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,,3,,,,GOOD,,,,,,,,,,,
5176270,HOUSE,HOUSE,,,2,West Flanders,Flanders,8310,Astridlaan,,FLANDERS,,,0.0,0.0,0.0,,3,,,,TO_RENOVATE,,,,,,,,,,,
5189388,APARTMENT,PENTHOUSE,,145.0,3,Limburg,Flanders,3700,,1,FLANDERS,,,,,,145,,,,,,2014,4,True,NON_FLOOD_ZONE,,True,SEMI_EQUIPPED,15,,,
5223326,HOUSE,HOUSE,,185.0,4,East Flanders,Flanders,9950,Vennegoedstraat,,FLANDERS,,,0.0,0.0,0.0,185,,,,,GOOD,2014,,,,,,,,,,
5253450,HOUSE,HOUSE,,178.0,4,Flemish Brabant,Flanders,1745,,,FLANDERS,,,,,,178,,True,,,TO_BE_DONE_UP,1935,3,,NON_FLOOD_ZONE,GAS,True,INSTALLED,13,,,
5256722,HOUSE,HOUSE,,,2,Liège,Wallonie,4430,,,WALLONIE,,,,,,,,,,,,,2,,,,,,,,,
5257824,HOUSE,HOUSE,,,2,West Flanders,Flanders,8000,Timmermansstraat,,FLANDERS,,,0.0,0.0,0.0,,3,,,,,,,,,,,,,,,
5263625,HOUSE,HOUSE,,165.0,3,East Flanders,Flanders,9200,,,FLANDERS,,,,,,165,,True,True,,TO_RENOVATE,1936,4,,POSSIBLE_FLOOD_ZONE,FUELOIL,True,,16,,,
5301376,HOUSE,VILLA,,375.0,6,Brussels,Brussels,1082,Avenue de Koekelberg,,BRUSSELS,RESIDENTIAL,,0.0,0.0,0.0,375,,True,True,True,GOOD,,4,,,FUELOIL,,SEMI_EQUIPPED,,,,
5306031,HOUSE,VILLA,,900.0,,Antwerp,Flanders,2970,Pater Nuyenslaan,,FLANDERS,,,0.0,0.0,0.0,900,1,,,,AS_NEW,2008,4,,,,,,,,True,
5307736,HOUSE,HOUSE,,,2,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,,3,,,,GOOD,,,,,,,,,,,
5307737,HOUSE,HOUSE,,140.0,3,Flemish Brabant,Flanders,1500,,,FLANDERS,,,,,,140,4,,,,GOOD,2014,,,,,,,,,,
5323060,APARTMENT,PENTHOUSE,,153.0,3,Flemish Brabant,Flanders,3200,Pieter Verhaeghenlaan,3,FLANDERS,URBAN,,0.0,100.0,50.0,153,,,,,AS_NEW,2016,2,True,NON_FLOOD_ZONE,GAS,True,INSTALLED,,,,
5323061,APARTMENT,APARTMENT,,69.0,1,Flemish Brabant,Flanders,3200,Pieter Verhaeghenlaan,3,FLANDERS,URBAN,,0.0,100.0,50.0,69,,,,,AS_NEW,2015,2,True,NON_FLOOD_ZONE,GAS,True,INSTALLED,,,,
5323063,APARTMENT,APARTMENT,,72.0,1,Flemish Brabant,Flanders,3200,Pieter Verhaeghenlaan,3,FLANDERS,URBAN,,0.0,100.0,50.0,72,,,,,AS_NEW,2015,2,True,NON_FLOOD_ZONE,GAS,True,INSTALLED,,,,
5323064,APARTMENT,APARTMENT,,115.0,3,Flemish Brabant,Flanders,3200,Pieter Verhaeghenlaan,2,FLANDERS,URBAN,,0.0,100.0,50.0,115,,,,,AS_NEW,2015,2,True,NON_FLOOD_ZONE,GAS,True,INSTALLED,,,,
5323065,APARTMENT,APARTMENT,,90.0,2,Flemish Brabant,Flanders,3200,Pieter Verhaeghenlaan,,FLANDERS,URBAN,,0.0,100.0,50.0,90,,,,,AS_NEW,2015,2,True,NON_FLOOD_ZONE,GAS,True,INSTALLED,,,,
5323066,APARTMENT,APARTMENT,,115.0,3,Flemish Brabant,Flanders,3200,Pieter Verhaeghenlaan,,FLANDERS,URBAN,,0.0,100.0,50.0,115,,,,,AS_NEW,2015,2,True,NON_FLOOD_ZONE,GAS,True,INSTALLED,,,,
